ticker                              title                                                                                                                      open_time            close_time           yes_ask  no_ask  best_ask  worst_ask  volume_24h
----------------------------------  -------------------------------------------------------------------------------------------------------------------------  -------------------  -------------------  -------  ------  --------  ---------  ----------
KXCRYPTOPERFORMY-25-XRP             Which of these cryptocurrencies will perform best in 2025?                                                                 2024-12-12 15:00:00  2026-01-01 15:00:00  4        97      4         97         2538      
KXAPRPOTUSEOY-26JAN01-44.45         Will the President's approval rating be between 44.0 and 44.9 according to RealClearPolitics?                              2025-09-17 14:00:00  2026-01-01 16:00:00  4        97      4         97         1129      
KXTSWIFTDOC-26JAN01                 Will a Taylor Swift documentary directed, written, produced, or approved by Taylor Swift be announced before Jan 1, 2026?  2025-08-19 14:00:00  2026-01-01 04:59:00  4        97      4         97         722       
KXCRYPTOPERFORMY-25-BTC             Which of these cryptocurrencies will perform best in 2025?                                                                 2024-12-12 15:00:00  2026-01-01 15:00:00  96       5       5         96         5130      
KXAPRPOTUSEOY-26JAN01-41.45         Will the President's approval rating be between 41.0 and 41.9 according to RealClearPolitics?                              2025-09-17 14:00:00  2026-01-01 16:00:00  5        96      5         96         1388      
KXTARIFFRATEINDIA-26JAN01-20        Will the tariff rate on India imports be below 20% on Jan 1, 2026?                                                         2025-09-07 14:00:00  2026-01-01 04:59:00  5        97      5         97         0         
KXUFSD-25-DEC31                     Will Tesla launch unsupervised full self-driving to the public before Jan 2026?                                            2025-02-21 15:00:00  2026-01-01 15:00:00  6        95      6         95         20647     
KXSUBWAY-26-4.19                    Will NYC subway ridership reach 90% of the pre-Covid average before Jan 1, 2026?                                           2024-10-25 14:00:00  2026-01-01 15:00:00  6        97      6         97         556       
KXCABCHANGE-26-1                    Will 1 members of Trump's first Cabinet leave?                                                                             2024-12-18 15:00:00  2026-01-01 15:00:00  6        96      6         96         233       
KXTARIFFRATEINDIA-26JAN01-55        Will the tariff rate on India imports be between 50% and 60% on Jan 1, 2026?                                               2025-09-07 14:00:00  2026-01-01 04:59:00  95       6       6         95         0         
KXMODELHIGH-26-GOOG                 Will Gemini be the first to hit 1500 on Chatbot Arena?                                                                     2025-02-26 15:00:00  2026-01-01 15:00:00  7        94      7         94         154570    
KXCODINGMODEL-26JAN-ANTH            Which AI company will have the best coding model on Jan 1, 2026?                                                           2025-06-02 14:00:00  2026-01-01 15:00:00  7        94      7         94         17385     
KXAISPIKE-26-1500                   Will any AI model have an elo of at least 1500 before Jan 1, 2026                                                          2024-10-25 14:00:00  2026-01-01 15:00:00  7        94      7         94         11387     
KXUSMDLFRDM-26-RGIU                 Who will earn the Presidential Medal of Freedom in 2025?                                                                   2025-08-13 20:45:00  2026-01-01 04:59:00  7        96      7         96         1870      
